cod_localidad,id_provincia,id_departamento,Observaciones,categoría,subcategoria,provincia,localidad,nombre,domicilio,piso,código postal,cod_area,número de teléfono,mail,web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,actualizacion
6063010,6,6063,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Juan Manuel Fangio,Dardo Rocha y Bartolomé Mitre,s/d,B7620BGN,2266.0,425 540,s/d,s/d,-37.85056,-58.255192,Localización precisa,s/d,DNPyM,Privada,1986,2017
6063010,6,6063,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Histórico Municipal,32 y 35 Emplazado en el Cerro el Triunfo,s/d,B7620CFA,2266.0,421 800,s/d,s/d,-37.85056,-58.255192,Localización precisa,s/d,DNPyM,Municipal,2008,2017
6490010,6,6490,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Banfield,Museo De Artes Plásticas Pío Collivadino,Medrano 165,s/d,B1828IPC,11.0,4202 5223,s/d,s/d,-34.7482,-58.3946,Localización precisa,s/d,DNPyM,Nacional,1992,2017
6070010,6,6070,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Baradero,Museo Aeronáutico Baradero Vicente 'Tito' Churín,Jorge Newbery 1450,s/d,B2942EXR,3329.0,481 689,aeroclub_baradero@hotmail.com,s/d,-33.817642,-59.49308,Localización precisa,s/d,DNPyM,Privada,1996,2017
6756010,6,6756,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Beccar,Museo Lucy Mattos,Av. Libertador 17426,s/d,B1643CRO,11.0,4732 2585,s/d,s/d,-34.458953,-58.520181,Localización precisa,s/d,DNPyM,Privada,2012,2017
6098010,6,6098,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo De La Soda Y El Sifón,60 N° 768 / 128 (Rotonda),s/d,B1924CKS,221.0,424 8537,s/d,s/d,-34.901699,-57.921988,Localización precisa,s/d,DNPyM,Privada,s/d,2017
6098010,6,6098,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Asociación 1871 Museo De Berisso,Av. 32 Esq. Montevideo,s/d,1923,221.0,461 3166,s/d,s/d,-34.877062,-57.856338,Localización precisa,s/d,DNPyM,Privada,2012,2017
6098010,6,6098,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo Ornitolólogico Municipal De Berisso,Montevideo 821,s/d,B1923HMH,221.0,464 5574,s/d,s/d,-34.8687,-57.8837,Localización precisa,s/d,DNPyM,Municipal,1986,2017
6658010,6,6658,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bernal,Museo Municipal Histórico Regional Almirante Brown,25 de Mayo 198,s/d,B1876AWD,11.0,4252 5508,s/d,s/d,-34.7123,-58.2849,Localización precisa,s/d,DNPyM,Municipal,s/d,2017
6028010,6,6028,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Burzaco,Museo Claudio León Sempere,Colón 581,s/d,B1852BSE,11.0,4299 7279,s/d,s/d,-34.7918,-58.3503,Localización precisa,s/d,DNPyM,Privada,1986,2017
6266020,6,6266,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo Del Periodismo Bonaerense,Rivadavia 477,s/d,B2812DII,s/d,s/d,s/d,s/d,-34.294305,-59.098521,Localización precisa,s/d,DNPyM,Municipal,1972,2017
6266020,6,6266,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo De Arte Sacro Amalia Sosa Palacio De Carol,Bolívar 338,s/d,B2812AVH,2323.0,492 981,s/d,s/d,-34.295469,-59.100659,Localización precisa,s/d,DNPyM,Privada,2007,2017
6007010,6,6007,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carhue,Museo Regional Dr. Adolfo Alsina,Rivadavia y Laprida,s/d,6430,2936.0,430 967,s/d,s/d,-37.181184,-62.761667,Localización precisa,s/d,DNPyM,Municipal,1967,2017
6602030,6,6602,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Histórico Regional Emma Nozzi,J.J.Biedma 64,s/d,B8504BVB,2920.0,462 729,s/d,s/d,-40.803265,-62.985805,Localización precisa,s/d,DNPyM,Provincial,1951,2017
6602030,6,6602,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Carmen De Patagones De La Prefectura Naval Argentina,Mitre 350,s/d,B8504BUF,2920.0,461 742,s/d,s/d,-40.799546,-62.990096,Localización precisa,s/d,DNPyM,Nacional,1998,2017
6840010,6,6840,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Caseros,Palacio San José - Museo Y Monumento Histórico Nacional Justo José De Urquiza,Ruta Provincial 39 Km. 128 (Desvio al Norte 3 Km.),s/d,E3262AZR,3442.0,432 620,s/d,s/d,-32.466694,-58.478098,Localización precisa,s/d,DNPyM,Nacional,1936,2017
6210020,6,6210,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chacabuco,Museo Y Archivo Histórico,Moreno 171,s/d,B6740EGC,2352.0,426 699,s/d,s/d,-34.6409,-60.4669,Localización precisa,s/d,DNPyM,Municipal,s/d,2017
6357080,6,6357,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chapadmalal,Museo Unidad Turística Chapadmalal Eva Perón,Ruta Nº 11 Km 33.5 Hotel Nº 5.,s/d,5857,223.0,469 9291,s/d,s/d,-38.178051,-57.651372,Localización precisa,s/d,DNPyM,Nacional,s/d,2017
6217010,6,6217,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chascomus,Museo Pampeano,Avda. Lastra y Muñiz,s/d,B7130FRA,2241.0,430 982,s/d,s/d,-35.577998,-58.017113,Localización precisa,s/d,DNPyM,Municipal,1941,2017
6224010,6,6224,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo De Artes Plásticas Pompeo Boggio,Bolívar 319,s/d,B6620HBG,2346.0,422 113,culturachivilcoy@hotmail.com,s/d,-34.891366,-60.022753,Localización precisa,s/d,DNPyM,Municipal,1962,2017
6224010,6,6224,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Histórico Municipal F. A. Castagnino,9 de Julio 177,s/d,B6620FKC,2346.0,422 185,s/d,s/d,-34.900377,-60.018883,Localización precisa,s/d,DNPyM,Municipal,1943,2017
6224010,6,6224,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Arqueológico Municipal,9 de Julio 177,s/d,B6620FKC,2346.0,422 185,s/d,s/d,-34.895242,-60.022772,Localización precisa,s/d,DNPyM,Municipal,1973,2017
6840010,6,6840,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ciudadela,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,s/d,B1702BDV,11.0,4653 1818,museoejercito@gmail.com,www.dahe.ejercito.mil.ar,-34.6311,-58.5433,Localización precisa,s/d,DNPyM,Nacional,1993,2017
6833020,6,6833,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Claromeco,Museo Regional De Claromecó Aníbal Paz,Calle 28 Entre 9 y 11 S/N,s/d,7505,2982.0,480 213,museoclaromeco@gimeil.com,s/d,-38.858268,-60.074491,Localización precisa,s/d,DNPyM,Provincial,2007,2017
6119050,6,6119,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Brandsen,Micro Cosmo Museum 1Er. Complejo Museístico Mundial Del Microcosmos,Azcuénaga 926,s/d,B1980EIT,2223.0,344 5628,s/d,s/d,-35.170389,-58.238246,Localización precisa,s/d,DNPyM,Privada,2002,2017
6189030,6,6189,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Dorrego,Museo Regional Dr. Carlos Funes Derieul,Maciel 555,s/d,B8150CSK,2921.0,409 228,s/d,s/d,-38.717614,-61.288043,Localización precisa,s/d,DNPyM,Municipal,1969,2017
6196010,6,6196,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Antimuseo Pillahuincó,Cabrera 455,s/d,B7530DJI,2922.0,462 680,s/d,s/d,-37.984408,-61.348839,Localización precisa,s/d,DNPyM,Municipal,s/d,2017
6196010,6,6196,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Agrario Y De Transporte,Sáenz Peña y Stagmann,s/d,7530,2922.0,406 2680,s/d,s/d,-37.984122,-61.356787,Localización precisa,s/d,DNPyM,Municipal,s/d,2017
6196010,6,6196,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo De Ciencias Naturales,Alem 1375,s/d,B7530ALE,2922.0,463 688,s/d,s/d,-37.983559,-61.348544,Localización precisa,s/d,DNPyM,Mixta: Privada/Municipal,1909,2017
6196010,6,6196,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Municipal De Bellas Artes,Juan P. Cabrera 455,s/d,B7530DJI,2922.0,462 680,s/d,s/d,-37.988799,-61.354054,Localización precisa,s/d,DNPyM,Municipal,1909,2017
6196010,6,6196,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Pringles De Arqueología E Historia,Alvear Entre Colón y España,s/d,7530,2922.0,462 459,s/d,s/d,-37.988799,-61.354054,Localización precisa,s/d,DNPyM,Privada,1971,2017
6196010,6,6196,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Miguel G. Flesia,Stegmann 1032,s/d,B7530DBV,2922.0,466 166 INT 32,s/d,s/d,-37.983131,-61.358056,Localización precisa,s/d,DNPyM,Municipal,1986,2017
6238010,6,6238,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Histórico Provincial Libres Del Sur,Juan Bautista Selva 390,s/d,B7100BIH,2245.0,442 730,s/d,s/d,-36.318665,-57.675217,Localización precisa,s/d,DNPyM,Provincial,1940,2017
6238010,6,6238,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Del Colegio Nacional Aristóbulo Del Valle,Crámer 450,s/d,B7100ADJ,2245.0,446 276,s/d,s/d,-36.318642,-57.67285,Localización precisa,s/d,DNPyM,Provincial,1991,2017
6392040,6,6392,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Emilio V. Bunge,Museo Comunal Pedro Bargero,Gobernador Arias 496,s/d,B6241AIJ,3388.0,493 535,bargero@servicoopsa.com.ar,s/d,-34.782191,-63.196046,Localización precisa,s/d,DNPyM,Municipal,1984,2017
6245010,6,6245,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,s/d,B1925BNS,221.0,460 2370,s/d,s/d,-34.850396,-57.92042,Localización precisa,s/d,DNPyM,Privada,s/d,2017
6245010,6,6245,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Histórico Fuerte De La Ensenada De Barragán,Avda. Almirante Brown y Calle 60 Punta Lara,s/d,1925,221.0,469 1642,s/d,s/d,-34.8215,-57.9661,Localización precisa,s/d,DNPyM,Municipal,1965,2017
6245010,6,6245,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Contraalmirante Rafael E. Chalier,Río Santiago - Escuela Naval Militar,s/d,1927,221.0,4317 2396,s/d,s/d,-34.84165,-57.893365,Localización precisa,s/d,DNPyM,Nacional,1979,2017
6274010,6,6274,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florencio Varela,Museo Histórico Provincial Guillermo E. Hudson,"Calle 1356 (El Zaino), Entre Av. Hudson y 1379",s/d,1888,2229.0,497 314,s/d,s/d,-34.80208,-58.264498,Localización precisa,s/d,DNPyM,Provincial,s/d,2017
6861010,6,6861,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo De La Piedra Argentina,Esteban Echeverría 333,s/d,1602,11.0,4760 9138,s/d,s/d,-34.533,-58.4909,Localización precisa,s/d,DNPyM,Privada,1975,2017
6861010,6,6861,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo Forrajeria De La Familia García,Gral. José María Paz 1584,s/d,B1602AYD,11.0,4796 9556,s/d,s/d,-34.526868,-58.491632,Localización precisa,s/d,DNPyM,Privada,2001,2017
6301010,6,6301,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,General Belgrano,Museo Histórico Municipal Alfredo E. Múlgura,Avda. Larrea 454,s/d,B7223GUO,s/d,s/d,s/d,s/d,-35.769121,-58.493413,Localización precisa,s/d,DNPyM,Municipal,2001,2017
6322010,6,6322,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Gral. la Madrid,Archivo Y Museo Histórico Juan Carlos Pacín,San Martín 545,s/d,B7406AMK,s/d,s/d,s/d,s/d,-37.252695,-61.259562,Localización precisa,s/d,DNPyM,Municipal,1987,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Médicas,s/d,1900,221.0,424 1596 INT 374,s/d,s/d,-34.909535,-57.928953,Localización precisa,s/d,DNPyM,Nacional,s/d,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Galería Fotográfica Mugafo Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,s/d,B1900TQU,221.0,417 6795,s/d,s/d,-34.926257,-57.961684,Localización precisa,s/d,DNPyM,Municipal,s/d,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Anatomía Veterinaria Dr. Víctor Manuel Arroyo,Calle 60 y 118,s/d,B1904AAO,221.0,423 6663 INT 424,s/d,s/d,-34.91114,-57.930749,Localización precisa,s/d,DNPyM,Nacional,s/d,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,s/d,1909,221.0,450 1214,s/d,s/d,-35.001053,-57.902284,Localización precisa,s/d,DNPyM,Nacional,s/d,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Almafuerte,Calle 66 530,s/d,B1904ASJ,221.0,427 5631,s/d,s/d,-34.9246,-57.9331,Localización precisa,s/d,DNPyM,Municipal,1909,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Provincial De Bellas Artes Emilio Pettoruti,Avda. 51 N° 525 E/5 y 6,s/d,B1900AVK,221.0,421 8619,s/d,s/d,-34.913773,-57.947692,Localización precisa,s/d,DNPyM,Provincial,1926,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Pictórico Indigenista Yana Kúntur,"Calle 516, N°2479 Entre 19 y 20",s/d,1900,221.0,484 2526,s/d,s/d,-34.8989,-58.0002,Localización precisa,s/d,DNPyM,Privada,1966,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,s/d,B1900ADX,221.0,424 0401,museo azzarini@hotmail.com,s/d,-34.9113,-57.9537,Localización precisa,s/d,DNPyM,Nacional,1989,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Artesanía Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N° 417,s/d,B1902CHQ,221.0,424 4684,s/d,s/d,-34.9111,-57.9433,Localización precisa,s/d,DNPyM,Privada,1990,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo José Juan Podestá,10 N° 727 Entre 46 y 47,s/d,B1900TIY,221.0,424 8457,s/d,s/d,-34.91512,-57.956169,Localización precisa,s/d,DNPyM,Municipal,1995,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Latinoamericano (Macla),50 E/ 6 y 7 Pasaje Dardo Rocha,s/d,B1900ASW,221.0,427 1843,s/d,s/d,-34.920184,-57.941166,Localización precisa,s/d,DNPyM,Municipal,2003,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Gráfico E Histórico Del Club De Gimnasia Y Esgrima La Plata,4 N° 979,s/d,B1900TDT,221.0,422 2510,s/d,s/d,-34.913027,-57.945249,Localización precisa,s/d,DNPyM,Privada,2004,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Automóvil Colección Rau,Av. 1 Nº 121 Entre 34 y 35,s/d,B1902CGC,221.0,427 6660,s/d,s/d,-34.896597,-57.960406,Localización precisa,s/d,DNPyM,Privada,2010,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Plata,Paseo del Bosque S/N,s/d,1900,221.0,423 4910,s/d,s/d,-34.9106,-57.9416,Localización precisa,s/d,DNPyM,Nacional,1888,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Municipal De Arte,Calle 50 Entre 6 y 7. Pasaje Dardo Rocha,s/d,B1900ASW,221.0,423 5033,museomumart@yahoo.com.ar,s/d,-34.9143,-57.9493,Localización precisa,s/d,DNPyM,Municipal,1905,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Archivo Dardo Rocha,Calle 50 N° 933,s/d,B1900ATK,s/d,s/d,s/d,s/d,-34.9212,-57.9566,Localización precisa,s/d,DNPyM,Municipal,1952,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Eclesiástico Catedral,Calle 14 Entre 51 y 53,s/d,B1900DVL,221.0,427 3504,museo-catedral@yahoo.com.ar,www.catedraldelaplata.com,-34.9222,-57.9557,Localización precisa,s/d,DNPyM,Provincial,1977,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Beato Angélico,Calle 47 Entre 16 y Diag. 73,s/d,B1900AKQ,221.0,424 8906,museobangelico@ucalp.edu.ar,www.ucalp.edu.ar,-34.9216,-57.9616,Localización precisa,s/d,DNPyM,Privada,1980,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Archivo Histórico Y Museo Del Servicio Penitenciario Bonaerense,35 N° 535 E/ 5 y 6,s/d,B1902BBU,221.0,429 3892,s/d,s/d,-34.901463,-57.964068,Localización precisa,s/d,DNPyM,Provincial,1994,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Física,"Calle 115, Entre 49 y 50 S/N",s/d,1900,221.0,424 6062,s/d,s/d,-34.907913,-57.942886,Localización precisa,s/d,DNPyM,Nacional,1998,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Tango Platense Oscar A. Bozzarelli,15 Nº 1579,s/d,B1904CTG,221.0,424 2698,s/d,s/d,-34.932314,-57.944732,Localización precisa,s/d,DNPyM,Privada,1999,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Odontología Orestes Walter Siutti,50 E/ 1 y 15 - Facultad de Odontología,s/d,1900,221.0,423 6777,s/d,s/d,-34.908329,-57.943054,Localización precisa,s/d,DNPyM,Nacional,2001,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Calcos,"Diagonal 78 N 680, Oficina 16",s/d,B1904BTD,221.0,427 6304,s/d,s/d,-34.922339,-57.94179,Localización precisa,s/d,DNPyM,Nacional,2004,2017
6441030,6,6441,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Policial,Calle 54 N° 393 Entre 2 y 3,s/d,B1900BDO,221.0,423 1876,s/d,s/d,-34.912075,-57.942017,Localización precisa,s/d,DNPyM,Provincial,2007,2017
6357120,6,6357,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Laguna de Los Padres,Museo Municipal José Hernández,"Ruta 226 Km. 14,5",s/d,B7601XAD,223.0,463 1394,s/d,s/d,-37.956443,-57.771628,Localización precisa,s/d,DNPyM,Municipal,1964,2017
6469080,6,6469,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lincoln,Museo Enrique Urcola,Avdea. 9 de Julio 260,s/d,B6070ACP,2355.0,421 262,s/d,s/d,-34.8714,-61.529141,Localización precisa,s/d,DNPyM,Privada,s/d,2017
6476030,6,6476,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Loberia,Museo De Ciencias Naturales Gesué P. Noseda,Alvear 181,s/d,B7635BWC,2261.0,442 227,s/d,s/d,-38.167505,-58.784647,Localización precisa,s/d,DNPyM,Privada,1960,2017
6483040,6,6483,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lobos,Museo Y Biblioteca Provincial Presidente Juan Domingo Perón,Pte. Perón 482,s/d,B7240AAJ,2227.0,422 843,s/d,s/d,-35.190349,-59.097169,Localización precisa,s/d,DNPyM,s/d,s/d,2017
6497060,6,6497,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Complejo Museográfico Provincial Enrique Udaondo,"Calle Lavalle 917, Entre Lezica y Torrezuri",s/d,B6700ANU,2323.0,420 245,s/d,s/d,-34.573023,-59.109553,Localización precisa,s/d,DNPyM,Provincial,1927,2017
6497060,6,6497,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Museo Municipal De Bellas Artes Fernán Félix De Amador,9 de Julio 863,s/d,B6700CDM,2323.0,420 755,s/d,s/d,-34.5637,-59.1205,Localización precisa,s/d,DNPyM,Municipal,1963,2017
6357110,6,6357,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Centro Cultural Victoria Ocampo,Matheu 1851,s/d,B7602GAK,223.0,492 0569,gestion@cultura.mardelplata.cultura.com.ar,s/d,-38.0199,-57.5528,Localización precisa,s/d,DNPyM,Municipal,s/d,2017
6357110,6,6357,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Arte Juan Carlos Castagnino,Avda. Colón 1189 - Villa Ortiz Basualdo,s/d,B7600FXE,223.0,486 1636,s/d,s/d,-38.010598,-57.535927,Localización precisa,s/d,DNPyM,Municipal,1949,2017
6357110,6,6357,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Ciencias Naturales Lorenzo Scaglia,Avda. Libertad 3099,s/d,B7600HJB,223.0,473 8791,s/d,s/d,-37.955666,-57.617466,Localización precisa,s/d,DNPyM,Municipal,1939,2017
6357110,6,6357,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Archivo Museo Histórico Municipal Roberto T. Barili,Lamadrid 3870,s/d,B7602CQV,223.0,495 1200,s/d,s/d,-38.0208,-57.5528,Localización precisa,s/d,DNPyM,Municipal,1969,2017
6525020,6,6525,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Marcos Paz,Museo De Arte Hispano Luso Americano Y Del Folklore,Hipólito Irigoyen 377,s/d,B1727BAG,220.0,477 1110,s/d,s/d,-34.7843,-58.8326,Localización precisa,s/d,DNPyM,Privada,1948,2017
6756010,6,6756,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Martínez,Museo Chavín De Huantar,Luis Sáenz Peña 2864,s/d,B1640ITF,11.0,4798 1835,s/d,s/d,-34.4987,-58.5006,Localización precisa,s/d,DNPyM,Privada,1971,2017
